species,Wwi,genus,family,order,class,phylum,metamorphosis,p_Am,kap,v,p_M,E_G,E_Hb,E_Hx,E_Hj,E_Hp,k_J,s_M,data_split
Acanthoclinus_littoreus,4.9000000000e+01,Acanthoclinus,Plesiopidae,OvalentariaIncSed,Actinopterygii,Chordata,True,4.8423123963e+01,7.2266447969e-01,2.3423000000e-02,2.0006622633e+01,5.2273754085e+03,7.2320677245e-01,7.2320677245e-01,4.6373011316e+00,2.0902680890e+04,2.0000000000e-03,1.8493200336e+00,train
Acanthocybium_solandri,1.1260000000e+05,Acanthocybium,Scombridae,Scombriformes,Actinopterygii,Chordata,True,4.0852933372e+02,9.8020995565e-01,3.3994293594e-02,5.1259418328e+01,5.2204449534e+03,1.7670476713e-02,1.7670476713e-02,1.1484985508e+00,3.5817307924e+05,2.0000000000e-03,4.0119757605e+00,train
Acanthodactylus_boskianus,4.0200000000e+00,Acanthodactylus,Lacertidae,Squamata,Reptilia,Chordata,False,1.5903617477e+02,4.7218493554e-01,2.2705433027e-02,5.9671370380e+01,7.8280128161e+03,8.5328794426e+02,8.5328794426e+02,8.5328794435e+02,1.5629881708e+04,2.0000000000e-03,1.0000000000e+00,train
Acanthodactylus_harranensis,8.7000000000e+00,Acanthodactylus,Lacertidae,Squamata,Reptilia,Chordata,False,8.6132021545e+01,5.3852990066e-01,2.7443757605e-02,2.5621496776e+01,7.8338735351e+03,8.8237360972e+02,8.8237360972e+02,8.8237360981e+02,1.0260842719e+04,2.0000000000e-03,1.0000000000e+00,train
Acanthogobius_flavimanus,1.9300000000e+02,Acanthogobius,Gobiidae,Gobiiformes,Actinopterygii,Chordata,False,2.9080565695e+03,8.5216575487e-01,2.1517741432e-02,1.3395817850e+03,5.2304619140e+03,9.5383018049e-02,9.5383018049e-02,9.5383018059e-02,1.0199919291e+04,2.0000000000e-03,1.0000000000e+00,test
Acanthopagrus_arabicus,1.5000000000e+03,Acanthopagrus,Sparidae,Spariformes,Actinopterygii,Chordata,True,1.1280290320e+02,8.2694203965e-01,1.9444000000e-02,1.5278784766e+01,5.2373465451e+03,1.0948299972e-01,1.0948299972e-01,3.0528345251e-01,1.0013292553e+05,2.0000000000e-03,1.4068706525e+00,test
Acanthopagrus_australis,4.3000000000e+03,Acanthopagrus,Sparidae,Spariformes,Actinopterygii,Chordata,True,1.6156235354e+02,7.7575797693e-01,1.7731109173e-02,1.6273047252e+01,5.2293425454e+03,1.1230917007e-01,1.1230917007e-01,3.6124043485e-01,1.5817958416e+05,2.0000000000e-03,1.4754937344e+00,train
Acarichthys_heckelii,2.7600000000e+02,Acarichthys,Cichlidae,Cichliformes,Actinopterygii,Chordata,False,5.5200981020e+03,9.6280507913e-01,2.0800935030e-02,3.1846458832e+03,5.2300236601e+03,1.0527128778e-02,1.0527128778e-02,1.0527128779e-02,5.9356069189e+03,2.0000000000e-03,1.0000000000e+00,train
Accipiter_cooperii,5.1800000000e+02,Accipiter,Accipitridae,Accipitriformes,Aves,Chordata,False,4.7402365172e+03,9.7119558547e-01,2.7138642329e-02,1.7429010465e+03,7.3242839137e+03,4.6172768190e+02,3.2537186303e+03,4.6172768195e+02,9.2631839586e+03,7.0854961623e-02,1.0000000000e+00,train
Accipiter_fasciatus,5.8000000000e+02,Accipiter,Accipitridae,Accipitriformes,Aves,Chordata,False,1.5685105579e+02,9.8405944737e-01,5.8072422023e-02,2.0332154725e+01,7.3207114913e+03,1.2747725047e+03,3.6852662182e+03,1.2747725048e+03,1.2501353846e+04,8.3397282913e-04,1.0000000000e+00,train
Accipiter_nisus,3.1000000000e+02,Accipiter,Accipitridae,Accipitriformes,Aves,Chordata,False,1.3143829537e+02,9.4777058519e-01,5.9058299783e-02,1.9833587613e+01,7.3224479044e+03,5.4424599318e+03,1.0791541036e+04,5.4424599323e+03,2.6299732763e+04,8.1266032141e-04,1.0000000000e+00,train
Achoerodus_gouldii,2.0000000000e+04,Achoerodus,Labridae,Labriformes,Actinopterygii,Chordata,True,2.9106083125e+02,9.6779230690e-01,2.1022000000e-02,1.6485123810e+01,5.2319340377e+03,1.1852478106e-02,1.1852478106e-02,1.1852478877e-02,9.8011518213e+05,9.5129761016e-04,1.0000000216e+00,test
Achoerodus_viridis,3.6000000000e+03,Achoerodus,Labridae,Labriformes,Actinopterygii,Chordata,True,1.4827697579e+02,5.2215997862e-01,9.9420584280e-02,5.7037530932e+00,5.2402167698e+03,3.0666709745e-01,3.0666709745e-01,3.0666709929e-01,3.1048570944e+05,3.2396381019e-04,1.0000000020e+00,train
Achondrostoma_arcasii,1.6200000000e+02,Achondrostoma,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,1.0632253520e+02,9.7680492403e-01,2.4900000000e-02,2.0536843447e+01,5.2268486676e+03,5.8368465846e-02,5.8368465846e-02,8.4489760211e-02,1.6427267531e+02,2.0000000000e-03,1.1304364350e+00,val
Acipenser_baerii,8.5300000000e+04,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,False,6.5478804376e+02,6.9937433005e-01,1.3783669803e-02,2.1168910664e+01,5.2233372627e+03,2.0056741215e+00,2.0056741215e+00,2.0056741217e+00,2.8325219392e+06,2.0000000000e-03,1.0000000000e+00,val
Acipenser_gueldenstaedtii,1.1500000000e+05,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,False,1.5725472522e+04,6.4967556920e-01,3.8675878482e-02,9.7949352415e+02,5.2364420981e+03,1.0063664951e+00,1.0063664951e+00,1.0063664952e+00,2.5002752737e+08,2.0000000000e-03,1.0000000000e+00,val
Acipenser_medirostris,1.1700000000e+05,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,False,8.8927825748e+02,4.7365347420e-01,6.2878831723e-02,1.4445896321e+01,5.2387753655e+03,5.7069898470e+01,5.7069898470e+01,5.7069898476e+01,3.6192719016e+07,2.0000000000e-03,1.0000000000e+00,train
Acipenser_persicus,7.0000000000e+04,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,False,5.6207311063e+02,5.6570689417e-01,4.3759255353e-02,1.2326835884e+01,5.2422218722e+03,5.2333628503e+01,5.2333628503e+01,5.2333628509e+01,3.6130167289e+07,2.0000000000e-03,1.0000000000e+00,test
Acipenser_ruthenus,6.4000000000e+03,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,False,2.2144547559e+02,7.8040039905e-01,5.1789185174e-02,1.1875799851e+01,5.2797474409e+03,9.8677730060e-01,9.8677730060e-01,9.8677730070e-01,2.7403695843e+05,2.0000000000e-03,1.0000000000e+00,test
Acipenser_stellatus,8.0000000000e+04,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,False,1.0073963254e+04,6.2734687124e-01,2.4365657266e-02,6.8291197073e+02,5.2303982288e+03,7.3622855969e-01,7.3622855969e-01,7.3622855976e-01,1.5011832346e+08,2.0000000000e-03,1.0000000000e+00,train
Acipenser_sturio,4.6000000000e+05,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,False,2.0352028943e+02,5.8220978599e-01,8.9592770423e-02,1.7621102117e+00,5.2362131514e+03,4.6948675428e+01,4.6948675428e+01,4.1793789246e+02,1.5529733907e+07,2.0000000000e-03,1.0000000000e+00,test
Acipenser_transmontanus,8.1600000000e+05,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,False,9.7271993134e+02,4.5000000000e-01,6.0472592497e-02,7.7799842194e+00,5.2464461911e+03,2.8588843978e+01,2.8588843978e+01,2.8588843980e+01,8.4894183682e+07,4.2266776962e-04,1.0000000000e+00,val
Acridotheres_cristatellus,1.1650000000e+02,Acridotheres,Sturnidae,Passeriformes,Aves,Chordata,False,3.0228046773e+03,9.1135240956e-01,3.0708236136e-02,1.4190577077e+03,7.3237912084e+03,6.6276088031e+02,8.1655936790e+03,6.6276088037e+02,1.6240251033e+04,5.7324562869e-02,1.0000000000e+00,test
Acridotheres_tristis,1.1300000000e+02,Acridotheres,Sturnidae,Passeriformes,Aves,Chordata,False,1.7879193607e+03,8.9845794632e-01,2.8337229388e-02,7.3689042540e+02,7.3257282193e+03,7.6866450777e+02,8.0688353910e+03,7.6866450784e+02,2.2219504097e+04,3.0175289390e-02,1.0000000000e+00,test
Acrocephalus_arundinaceus,2.5700000000e+01,Acrocephalus,Acrocephalidae,Passeriformes,Aves,Chordata,False,2.5299712434e+03,9.5430758437e-01,2.2882691122e-02,2.1496432731e+03,7.3213060591e+03,1.0229298300e+02,5.5310795051e+02,1.0229298301e+02,1.2959863541e+03,8.8086426219e-02,1.0000000000e+00,train
Acrocephalus_melanopogon,1.2600000000e+01,Acrocephalus,Acrocephalidae,Passeriformes,Aves,Chordata,False,3.3270459393e+03,9.4373128538e-01,2.3370373375e-02,3.8431849375e+03,7.3210878176e+03,5.9033113406e+01,3.5262596707e+02,5.9033113412e+01,7.0221219560e+02,1.5757419135e-01,1.0000000000e+00,train
Acrocephalus_palustris,1.2600000000e+01,Acrocephalus,Acrocephalidae,Passeriformes,Aves,Chordata,False,2.8080734735e+03,9.3373345694e-01,2.3446524180e-02,3.0410006088e+03,7.3241642260e+03,9.0761254096e+01,4.8184582356e+02,9.0761254106e+01,9.7002912761e+02,1.2418292414e-01,1.0000000000e+00,train
Acrocephalus_scirpaceus,1.1000000000e+01,Acrocephalus,Acrocephalidae,Passeriformes,Aves,Chordata,False,1.8903862078e+03,9.5000491440e-01,2.8065704327e-02,1.8147931662e+03,7.3223972078e+03,7.9838207242e+01,5.0465824398e+02,7.9838207250e+01,1.0716321911e+03,7.4451352902e-02,1.0000000000e+00,test
Acrocheilus_alutaceus,3.4160000000e+02,Acrocheilus,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,1.1799609110e+02,9.5896593211e-01,6.7365205360e-02,1.8136756111e+01,5.2335555716e+03,1.9566182823e-01,1.9566182823e-01,1.9567361421e-01,6.4457405040e+03,2.0000000000e-03,1.0000199696e+00,test
Acroteriobatus_annulatus,8.0000000000e+03,Acroteriobatus,Rhinobatidae,Rhinopristiformes,Chondrichthyes,Chordata,False,2.0985678544e+02,9.1483560227e-01,1.9405543437e-02,1.4353085550e+01,5.2354395382e+03,3.8872580718e+03,3.8872580718e+03,3.8872580722e+03,1.3282169082e+05,2.0018984154e-03,1.0000000000e+00,train
Actinonaias_ligamentina,1.0170000000e+03,Actinonaias,Unionidae,Unionoida,Bivalvia,Mollusca,True,4.4876792087e+01,9.8364600347e-01,5.7535412018e-03,1.3218548707e+01,2.3555129562e+03,4.2918789006e-06,4.2918789006e-06,4.2918799721e-06,6.1526691003e+01,2.0000000000e-03,1.0000000831e+00,train
Actitis_macularius,4.8000000000e+01,Actitis,Scolopacidae,Charadriiformes,Aves,Chordata,False,1.8475088093e+03,8.1703398830e-01,2.4309118201e-02,9.6822935540e+02,7.3198074538e+03,1.8673759273e+03,8.1753319668e+03,1.8673759275e+03,1.7007142540e+04,3.9846375558e-02,1.0000000000e+00,train
Acyrtops_beryllinus,1.1000000000e-01,Acyrtops,Gobiesocidae,Gobiesociformes,Actinopterygii,Chordata,False,2.1843303267e+01,9.0987777857e-01,2.1722000000e-02,4.4479723798e+01,5.2172007637e+03,1.5099049561e-01,1.5099049561e-01,1.5099049562e-01,8.5947859526e+00,2.0000000000e-03,1.0000000000e+00,train
Aegolius_acadicus,1.2110000000e+02,Aegolius,Strigidae,Strigiformes,Aves,Chordata,False,1.1045734810e+03,9.2827055809e-01,2.3121361844e-02,4.2199343764e+02,7.3215429481e+03,1.0385406734e+03,7.0434981825e+03,1.0385406735e+03,1.9385376487e+04,1.7310339107e-02,1.0000000000e+00,train
Aegotheles_cristatus,6.0000000000e+01,Aegotheles,Aegothelidae,Aegotheliformes,Aves,Chordata,False,1.6515604202e+03,8.8530940336e-01,2.0180426485e-02,8.8932516817e+02,7.3181557768e+03,1.0679393344e+03,5.2325317757e+03,1.0679393345e+03,1.1375624918e+04,3.6551022378e-02,1.0000000000e+00,train
Aerodramus_bartschi,8.2100000000e+00,Aerodramus,Apodidae,Apodiformes,Aves,Chordata,False,4.0174927865e+01,9.6130570615e-01,4.0851818294e-02,2.0049391173e+01,7.3189690227e+03,3.0575876065e+02,6.7641379611e+02,3.0575876068e+02,1.6183857134e+03,8.2193729115e-04,1.0000000000e+00,train
Aerodramus_brevirostris,1.2750000000e+01,Aerodramus,Apodidae,Apodiformes,Aves,Chordata,False,8.8419620684e+02,9.1613776256e-01,2.1402006881e-02,6.7249578411e+02,7.3209782849e+03,3.4936227052e+02,1.6515526390e+03,3.4936227055e+02,3.3013404539e+03,2.7623643383e-02,1.0000000000e+00,train
Aerodramus_fuciphagus,1.1800000000e+01,Aerodramus,Apodidae,Apodiformes,Aves,Chordata,False,5.5310444377e+02,6.5701794966e-01,2.2723631194e-02,2.6920091369e+02,7.3204335674e+03,2.4932094585e+03,1.4644611798e+04,2.4932094588e+03,2.8373076224e+04,1.1044626730e-02,1.0000000000e+00,test
Aerodramus_hirundinaceus,1.0100000000e+01,Aerodramus,Apodidae,Apodiformes,Aves,Chordata,False,7.4320186242e+02,6.7148174883e-01,1.3866706155e-02,4.8154847038e+02,7.3179632621e+03,8.4817983329e+02,9.0244355499e+03,8.4817983338e+02,1.2837672518e+04,2.0040943140e-02,1.0000000000e+00,val
Aerodramus_spodiopygius,1.1500000000e+01,Aerodramus,Apodidae,Apodiformes,Aves,Chordata,False,4.8163546890e+01,9.0601508333e-01,3.9289047393e-02,2.0466226524e+01,7.2949064000e+03,7.6805445068e+02,1.8926783504e+03,7.6805445076e+02,5.0076439964e+03,8.4175858265e-04,1.0000000000e+00,train
Aeronautes_saxatalis,4.5000000000e+01,Aeronautes,Apodidae,Apodiformes,Aves,Chordata,False,7.0390331593e+01,9.5758749810e-01,3.9194730424e-02,2.0542671036e+01,7.3170493651e+03,4.5995283924e+02,1.3754793121e+03,4.5995283928e+02,4.5204665597e+03,8.4220379869e-04,1.0000000000e+00,val
Aethaloperca_rogaa,3.5570000000e+03,Aethaloperca,Serranidae,Perciformes,Actinopterygii,Chordata,True,2.7224277584e+01,9.4589319064e-01,1.8261144395e-02,6.8544615281e+00,5.2422367149e+03,5.2486393897e-02,5.2486393897e-02,3.3648408603e+00,3.1166011530e+05,3.9398854995e-04,3.9908684619e+00,test
Aethia_cristatella,2.8700000000e+02,Aethia,Alcidae,Charadriiformes,Aves,Chordata,False,3.8695404293e+03,9.5712691408e-01,1.9694046840e-02,1.7761221532e+03,7.3235331129e+03,9.1873439195e+02,4.1720413091e+03,9.1873439204e+02,8.4387347703e+03,7.2918266507e-02,1.0000000000e+00,train
Aethia_psittacula,2.7300000000e+02,Aethia,Alcidae,Charadriiformes,Aves,Chordata,False,1.6061368443e+03,9.6499035797e-01,2.6151468626e-02,5.2353953279e+02,7.3212530773e+03,1.6824715730e+03,8.2404671695e+03,1.6824715732e+03,1.8368987447e+04,2.1431193801e-02,1.0000000000e+00,train
Aethia_pusilla,9.2000000000e+01,Aethia,Alcidae,Charadriiformes,Aves,Chordata,False,1.0034123234e+03,9.5867126805e-01,2.8234687657e-02,3.9853687435e+02,7.3231185911e+03,1.2622594437e+03,5.5792808847e+03,1.2622594439e+03,1.2022921777e+04,1.6330041075e-02,1.0000000000e+00,test
Aethia_pygmaea,1.1900000000e+02,Aethia,Alcidae,Charadriiformes,Aves,Chordata,False,1.3237173503e+03,8.9193011129e-01,2.2936774934e-02,5.1752030353e+02,7.3208611986e+03,3.4174013140e+03,1.7810046239e+04,3.4174013144e+03,3.2238403401e+04,2.1237073586e-02,1.0000000000e+00,train
Aethotaxis_mitopteryx,2.8300000000e+02,Aethotaxis,Nototheniidae,Perciformes,Actinopterygii,Chordata,True,1.4414677663e+03,7.3519894828e-01,2.3670288953e-02,5.6037815072e+02,5.2306624809e+03,2.4727727000e+00,2.4727727000e+00,7.8196065167e+00,5.1278700179e+04,2.0000000000e-03,1.4325123998e+00,train
Aetobatus_flagellum,1.3900000000e+04,Aetobatus,Myliobatidae,Myliobatiformes,Chondrichthyes,Chordata,False,3.9460561132e+02,7.0061417300e-01,2.8017583322e-02,1.4157982858e+01,5.2391108051e+03,4.1138009942e+05,4.1138009942e+05,4.1138009946e+05,1.0846510471e+07,2.0000000000e-03,1.0000000000e+00,train
Aetobatus_narinari,1.3000000000e+05,Aetobatus,Myliobatidae,Myliobatiformes,Chondrichthyes,Chordata,False,6.4828894335e+02,8.9572814048e-01,3.3046514520e-02,1.9827075059e+01,5.2303481186e+03,1.9999671801e+05,1.9999671801e+05,1.9999671803e+05,6.3920431595e+06,2.0000000000e-03,1.0000000000e+00,train
Aetomylaeus_bovinus,1.1600000000e+05,Aetomylaeus,Myliobatidae,Myliobatiformes,Chondrichthyes,Chordata,False,6.5655436365e+02,9.1220954460e-01,6.6250460440e-02,1.8101095516e+01,5.2326304401e+03,8.5683860916e+04,8.5683860916e+04,8.5683860925e+04,1.5868809941e+06,2.0000000000e-03,1.0000000000e+00,train
Afrotis_afra,7.0000000000e+02,Afrotis,Otididae,Otidiformes,Aves,Chordata,False,5.7445983278e+03,9.7551375512e-01,3.1647730447e-02,1.9353547637e+03,7.3217914495e+03,5.7706628234e+02,5.5611753178e+03,5.7706628240e+02,1.2861045010e+04,7.8805120791e-02,1.0000000000e+00,train
Agapornis_personatus,5.6000000000e+01,Agapornis,Psittaculidae,Psittaciformes,Aves,Chordata,False,1.5083031650e+03,6.9512900176e-01,3.2552506180e-02,5.5387834490e+02,7.2994641012e+03,2.0328113948e+03,4.5479236968e+04,2.0328113950e+03,6.9335426227e+04,2.3052309162e-02,1.0000000000e+00,val
Agapornis_roseicollis,5.6000000000e+01,Agapornis,Psittaculidae,Psittaciformes,Aves,Chordata,False,1.3734666390e+03,7.0008750905e-01,2.7184200632e-02,5.1893225036e+02,7.3186584270e+03,3.0012779160e+03,3.8060991008e+04,3.0012779163e+03,6.2254042757e+04,2.1591510194e-02,1.0000000000e+00,train
Agelaioides_badius,4.5250000000e+01,Agelaioides,Icteridae,Passeriformes,Aves,Chordata,False,5.4932173465e+03,9.7026033917e-01,2.3128172332e-02,5.0089691637e+03,7.3234305744e+03,6.3070547569e+01,2.9574170608e+02,6.3070547575e+01,6.8754328090e+02,2.0407788759e-01,1.0000000000e+00,train
Agelaius_phoeniceus,3.9600000000e+01,Agelaius,Icteridae,Passeriformes,Aves,Chordata,False,4.9554922052e+03,9.5264916234e-01,2.5043118060e-02,4.3785290890e+03,7.3236820276e+03,9.9706991727e+01,5.5438043723e+02,9.9706991737e+01,1.2470178806e+03,1.7914286549e-01,1.0000000000e+00,train
Aglaoctenus_lagotis,7.2000000000e-01,Aglaoctenus,Lycosidae,Araneae,Arachnida,Arthropoda,True,7.6267241185e+00,8.5075587862e-01,6.8547574882e-03,2.8012363478e+01,4.4360095026e+03,1.7379253038e-01,1.7379253038e-01,9.3632930718e+00,2.7591116156e+02,2.0000000000e-03,3.5836623324e+00,train
Ailuroedus_crassirostris,1.8000000000e+02,Ailuroedus,Ptilonorhynchidae,Passeriformes,Aves,Chordata,False,3.1398076754e+03,9.6844935040e-01,2.3809206133e-02,1.4950072510e+03,7.3236732618e+03,3.9412922384e+02,2.0873444756e+03,3.9412922388e+02,5.0562445482e+03,6.1005179181e-02,1.0000000000e+00,val
Aix_galericulata,5.4000000000e+02,Aix,Anatidae,Anseriformes,Aves,Chordata,False,2.2814218023e+03,6.6081644689e-01,3.0029384999e-02,4.3079267553e+02,7.3063304000e+03,1.9435980796e+04,2.1930156005e+05,1.9435980798e+04,4.7572923478e+05,1.7667204823e-02,1.0000000000e+00,train
Alaskozetes_antarcticus,1.8000000000e-04,Alaskozetes,Ameronothridae,Sarcoptiformes,Arachnida,Arthropoda,True,2.1766205286e+01,8.6096540654e-01,7.9810941595e-02,3.5248524509e+02,1.1400000000e+04,1.1243055756e-02,1.1243055756e-02,1.3712278087e-02,1.1001384467e+00,2.0000000000e-03,1.0478979485e+00,test
Alauda_arvensis,2.5000000000e+01,Alauda,Alaudidae,Passeriformes,Aves,Chordata,False,4.5989563229e+03,8.3126414812e-01,3.1181415327e-02,3.7555190435e+03,7.3267228693e+03,6.0129435468e+02,2.7229447278e+03,6.0129435474e+02,4.8297435064e+03,1.5227089617e-01,1.0000000000e+00,train
Alburnoides_eichwaldii_Kaboudval,3.0381066400e+01,Alburnoides,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,4.7326231456e+03,6.9192083388e-01,1.1883357250e-02,4.8769438785e+03,5.2218477066e+03,1.7916407047e-01,1.7916407047e-01,1.7916407309e-01,9.0619194998e+04,2.0000000000e-03,1.0000000039e+00,train
Alburnoides_eichwaldii_ShirAbad,4.8089586330e+01,Alburnoides,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,2.6170338451e+03,6.8514972283e-01,1.5514636754e-02,2.1152005158e+03,5.2278740797e+03,3.1191451633e-01,3.1191451633e-01,3.1193316589e-01,1.0443422236e+05,2.0000000000e-03,1.0000168902e+00,train
Alburnoides_eichwaldii_Tajan,1.2184240000e+02,Alburnoides,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,7.0995800879e+02,8.9554789830e-01,2.5091359475e-02,2.8204660244e+02,5.2280461056e+03,2.3470750672e-01,2.3470750672e-01,2.3470750822e-01,1.5883907779e+04,2.0000000000e-03,1.0000000020e+00,train
Alburnoides_eichwaldii_ZarrinGol,3.9720002400e+01,Alburnoides,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,1.4456221374e+03,1.4767881259e-01,2.2861411287e-02,1.0550582661e+02,5.2244187390e+03,4.7169727296e+00,4.7169727296e+00,4.7169727309e+00,1.6588527408e+05,2.0000000000e-03,1.0000000001e+00,test
Alburnus_alburnus,6.0000000000e+01,Alburnus,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,1.4262639366e+02,9.7563635316e-01,2.0313287792e-02,4.8364105722e+01,5.2199951581e+03,9.5764269704e-03,9.5764269704e-03,9.5764271747e-03,1.0801353333e+03,2.0000000000e-03,1.0000000070e+00,val
Alburnus_baliki,4.4000000000e+01,Alburnus,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,1.0248941999e+02,4.7777621536e-01,6.9250509896e-02,1.4782262797e+01,5.2372619264e+03,1.5700216882e+01,1.5700216882e+01,1.5700216980e+01,2.9819279219e+04,2.0000000000e-03,1.0000000021e+00,train
Alca_torda,7.2600000000e+02,Alca,Alcidae,Charadriiformes,Aves,Chordata,False,3.4601092953e+03,9.8806559601e-01,2.3198545578e-02,1.1010252315e+03,7.3185747866e+03,5.0874568200e+02,1.9233118570e+03,5.0874568205e+02,5.0851117980e+03,4.5190620498e-02,1.0000000000e+00,val
Aldabrachelys_gigantea,1.5900000000e+05,Aldabrachelys,Testudinidae,Testudines,Reptilia,Chordata,False,7.4850925771e+01,8.9016100483e-01,6.3808197434e-02,1.2974165120e+00,7.8510127449e+03,4.9497699311e+04,4.9497699311e+04,4.9497699316e+04,2.3899261425e+07,4.9609207728e-05,1.0000000000e+00,train
Alectoris_chukar,5.3600000000e+02,Alectoris,Phasianidae,Galliformes,Aves,Chordata,False,1.0228873076e+03,9.3618705838e-01,7.0346630673e-02,1.7421808106e+02,7.3379767124e+03,3.0773187941e+03,5.0261323436e+03,3.0773187944e+03,1.6392847650e+05,7.1355033078e-03,1.0000000000e+00,train
Alectoris_graeca,5.7500000000e+02,Alectoris,Phasianidae,Galliformes,Aves,Chordata,False,1.1690430252e+04,7.8541700012e-01,2.2037567048e-02,4.8240252056e+03,7.3177579053e+03,2.0196558625e+03,3.0797750079e+03,2.0196558627e+03,3.8333226498e+04,1.9864293984e-01,1.0000000000e+00,train
Alectoris_rufa,4.3000000000e+02,Alectoris,Phasianidae,Galliformes,Aves,Chordata,False,6.2859189522e+03,8.7866862746e-01,2.2288323986e-02,2.5986383034e+03,7.3220261259e+03,9.0382127749e+02,1.4565376928e+03,9.0382127758e+02,2.5231601922e+04,1.0647335801e-01,1.0000000000e+00,train
